canonical_concept,statement,definition,period_type,sign_convention,allowed_scope,required,formula_dependency
revenue,income_statement,Pendapatan dari aktivitas biasa untuk periode pelaporan,duration,source sign,group;single,required,
cost_of_revenue,income_statement,Biaya langsung yang dapat diatribusikan pada pendapatan.,duration,source sign,group;single,optional,
gross_profit,income_statement,Pendapatan kotor, duration,source sign,group;single,optional,revenue - cost_of_revenue
selling_expenses,income_statement,Biaya penjualan dan distribusi,duration,source sign,group;single,optional,
general_and_administrative_expenses,income_statement,Biaya umum dan administratif,duration,source sign,group;single,optional,
finance_income,income_statement,Pendapatan dari kegiatan pendanaan dan aset keuangan,duration,source sign,group;single,optional,
interest_and_finance_costs,income_statement,Biaya bunga dan pendanaan yang diakui dalam laba atau rugi,duration,source sign,group;single,optional,
profit_loss_before_tax,income_statement,Laba atau rugi sebelum pajak penghasilan,duration,source sign,group;single,required,
income_tax_expense,income_statement,Manfaat atau beban pajak penghasilan kini dan tangguhan,duration,source sign,group;single,optional,
profit_loss_continuing_operations,income_statement,Laba atau rugi dari operasi berkelanjutan,duration,source sign,group;single,optional,
profit_loss,income_statement,Total laba atau rugi untuk periode,duration,source sign,group;single,required,
profit_loss_parent,income_statement,Laba atau rugi yang dapat dialokasikan kepada pemilik induk,duration,source sign,group;single,required,
profit_loss_nci,income_statement,Laba atau rugi yang dapat dialokasikan kepada pemilik tidak mengendalikan,duration,source sign,group;single,optional,
comprehensive_income,income_statement,Total pendapatan komprehensif untuk periode,duration,source sign,group;single,optional,
comprehensive_income_parent,income_statement,Penghasilan komprehensif yang dapat diatribusikan kepada pemilik entitas induk,duration,source sign,group;single,optional,
eps_basic_continuing,income_statement, Laba per saham dasar dari operasi yang dilanjutkan,duration,source sign,group;single,optional,
eps_diluted_continuing,income_statement, Laba per saham dilusian dari operasi yang dilanjutkan,duration,source sign,group;single,optional,
cash_and_cash_equivalents,balance_sheet, Kas dan setara kas pada tanggal pelaporan,instant,source sign,group;single,required,
trade_receivables_third_parties,balance_sheet,Piutang usaha dari pihak ketiga,instant,source sign,group;single,optional,
other_receivables_third_parties,balance_sheet,Piutang usaha dari pihak lain,instant,source sign,group;single,optional,
inventories,balance_sheet,Persediaan pada tanggal pelaporan,instant,source sign,group;single,optional,
current_assets,balance_sheet,total aset yang lancar,instant,source sign,group;single,required,
property_plant_equipment,balance_sheet,"Properti, tanaman, dan peralatan pada tanggal pelaporan",instant,source sign,group;single,required,
exploration_and_evaluation_assets,balance_sheet,Aset eksplorasi dan evaluasi,instant,source sign,group;single,optional,
mining_properties,balance_sheet,Aset penambangan pada tanggal pelaporan,instant,source sign,group;single,optional,
goodwill,balance_sheet,Goodwill pada tanggal pelaporan,instant,source sign,group;single,optional,
other_intangible_assets,balance_sheet,Aset tak berwujud lainnya selain goodwill,instant,source sign,group;single,optional,
investments_in_associates,balance_sheet,Investasi dalam afiliasi yang dihitung menggunakan metode ekuitas,instant,source sign,group;single,optional,
non_current_assets,balance_sheet,Total non-current assets,instant,source sign,group;single,required,
total_assets,balance_sheet,Total assets,instant,source sign,group;single,required,
trade_payables_third_parties,balance_sheet,Piutang usaha kepada pihak ketiga,instant,source sign,group;single,optional,
short_term_bank_loans,balance_sheet,Pinjaman bank jangka pendek,instant,source sign,group;single,optional,
current_maturities_bank_loans,balance_sheet,Kadaluarsa jangka pendek dari pinjaman bank,instant,source sign,group;single,optional,
current_liabilities,balance_sheet,Total kewajiban lancar jangka pendek,instant,source sign,group;single,required,
long_term_bank_loans,balance_sheet,Pinjaman bank jangka panjang,instant,source sign,group;single,optional,
long_term_finance_lease_liabilities,balance_sheet,Kewajiban sewa finansial jangka panjang,instant,source sign,group;single,optional,
non_current_liabilities,balance_sheet,Total kewajiban tidak lancar jangka panjang,instant,source sign,group;single,required,
total_liabilities,balance_sheet,Total kewajiban,instant,source sign,group;single,required,
equity_parent,balance_sheet,Ekuitas yang dapat diatribusikan kepada pemilik entitas induk,instant,source sign,group;single,required,
non_controlling_interests,balance_sheet,Kepentingan non-pengendali,instant,source sign,group;single,optional,
total_equity,balance_sheet,Total ekuitas,instant,source sign,group;single,required,
total_liabilities_and_equity,balance_sheet,Total kewajiban dan ekuitas,instant,source sign,group;single,required,
temporary_syirkah_funds,balance_sheet,Dana syirkah temporer pada tanggal pelaporan,instant,source sign,group;single,optional,
cash_flow_operating,cash_flow, Arus kas bersih dari aktivitas operasi,duration,source sign,group;single,required,
cash_flow_investing,cash_flow, Arus kas bersih dari aktivitas investasi,duration,source sign,group;single,required,
cash_flow_financing,cash_flow, Arus kas bersih dari aktivitas finansial,duration,source sign,group;single,required,
net_change_cash,cash_flow,Kenaikan atau penurunan bersih kas dan setara kas,duration,source sign,group;single,required,
ending_cash_cash_flow,cash_flow,Kas dan setara kas pada akhir rekonsiliasi arus kas,duration,source sign,group;single,optional,
payments_to_suppliers,cash_flow,Kas yang dibayarkan kepada pemasok untuk barang dan jasa,duration,source sign,group;single,optional,
payments_for_salaries,cash_flow,Kas yang dibayarkan untuk gaji dan tunjangan,duration,source sign,group;single,optional,
interest_paid_operating,cash_flow,Bunga yang dibayar dalam aktivitas operasi,duration,source sign,group;single,optional,
income_taxes_paid_refunded,cash_flow,Pajak pendapatan yang dibayar atau dikembalikan dalam aktivitas operasi,duration,source sign,group;single,optional,
proceeds_from_bank_loans,cash_flow,Penerimaan kas dari pinjaman bank,duration,source sign,group;single,optional,
payments_of_bank_loans,cash_flow,Pengeluaran kas dari pinjaman bank,duration,source sign,group;single,optional,
dividends_paid_financing,cash_flow,Dividen yang dibayarkan dalam aktivitas pendanaan,duration,source sign,group;single,optional,
