source_concept,concept_namespace,entry_point,canonical_concept,status,rationale,reviewer
SalesAndRevenue,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,revenue,PROPOSED,Exact semantic match; duration fact,DA-1/DA-3
CostOfSalesAndRevenue,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,cost_of_revenue,PROPOSED,Direct cost of sales; duration fact,DA-1/DA-3
GrossProfit,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,gross_profit,PROPOSED,Named subtotal; validate calculation,DA-1/DA-3
SellingExpenses,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,selling_expenses,PROPOSED,Exact semantic match,DA-1/DA-3
GeneralAndAdministrativeExpenses,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,general_and_administrative_expenses,PROPOSED,Exact semantic match,DA-1/DA-3
FinanceIncome,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,finance_income,PROPOSED,Exact semantic match,DA-1/DA-3
InterestAndFinanceCosts,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,interest_and_finance_costs,PROPOSED,Exact semantic match,DA-1/DA-3
ProfitLossBeforeIncomeTax,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,profit_loss_before_tax,PROPOSED,Exact semantic match,DA-1/DA-3
TaxBenefitExpenses,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,income_tax_expense,PROPOSED,Tax benefit/expense concept; preserve source sign,DA-1/DA-3
ProfitLossFromContinuingOperations,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/cor,http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/general;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/financesharia;http://www.idx.co.id/xbrl/taxonomy/2020-01-01/ep/E24/infrastructure,profit_loss_continuing_operations,PROPOSED,Exact semantic match,DA-1/DA-3
